ID,DAGM no.,Collection accession number,Text(s),Ascribed period,First published in,,,,,,,
1,1,Eleusis inv. 907,,late Archaic / early Classical,"Philios, D. (1885). Ἀρχαιολογικὰ Εὑρήματα τῶν ἐν Ἐλευσῖνι Ἀνασκαφῶν, AE 3, 169-84; pl. 8.1",,,,,,,
2,2,n.a.,"Euripides, Orestes, 140-2 ≈ 153-5; Scholion; Dionysus of Halicarnassus, De compositione verborum, 63-4.",Fifth century BCE,,,,,,,,
3,3,Pap. Vienna G 2315,"Euripides, Orestes, 338-44",Third-second century BCE,"Wessely, C., Antike Reste griechischer Musik, 22. Jahresbericht des K. K. Staatsgymnasiums im 3. Bezirk Wien 1890, Vienna 1891, 16-26.",,,,,,,
4,4,Pap. Leiden inv. P. 510,"Euripides, Iphigeneia in Aulis, 1500(?)-09; 784-94(?)",Third century BCE,"Jourdan-Hemmerdinger, D., 'Un nouveau papyrus musical d'Euripide (Présentation provisoire)', CRAI 1973, 292-302.",,,,,,,
5,5,"Pap. Ashm. Inv. 89B/31, 33","Sophocles Junior, Achilleus ?",Third-second century BCE,"West, M. L. 'Sophocles with Music (?). Ptolemaic Music Fragments and Remains of Sophocles (Junior?), Achilles', ZPE 126, 199, 43-65, pl. IX-XII (esp. pp. 43-53)",,,,,,,
6,6,Pap. Ashm. Inv. 89B/29-32,,Third-second century BCE,"West, M. L. 'Sophocles with Music (?). Ptolemaic Music Fragments and Remains of Sophocles (Junior?), Achilles', ZPE 126, 199, 43-65, pl. IX-XII",,,,,,,
7,7,"Pap. Hibeh 231 (British Library, Pap. 2996)",,Third century BCE,"Turner, E. G., Minor Unidentified Texts, Nr. 231, The Hibeh Papyri 2, 1955, 152.",,,,,,,
8,8,Pap. Zenon 59533,,Third century BCE,"Mountford, J. F., 'A New Fragment of Greek Music in Cairo', JHS 51, 1931, 91-100.",,,,,,,
9,9,Pap. Vienna G 29 825 a/b recto,,Third-second century BCE,"Hunger, H., Pöhlmann, E., 'Neue griechische Musikfragmente aus ptolemäischer Zeit in der Papyrussammlung der Österreichischen Nationalbibliothek', WS 75, 1962, 51-78.",,,,,,,
10,10,Pap. Vienna G 29 825 a/b verso,,Third-second century BCE,"Hunger, H., Pöhlmann, E., 'Neue griechische Musikfragmente aus ptolemäischer Zeit in der Papyrussammlung der Österreichischen Nationalbibliothek', WS 75, 1962, 51-78.",,,,,,,
11,11,Pap. Vienna G 29 825 c,,Third-second century BCE,"Hunger, H., Pöhlmann, E., 'Neue griechische Musikfragmente aus ptolemäischer Zeit in der Papyrussammlung der Österreichischen Nationalbibliothek', WS 75, 1962, 51-78.",,,,,,,
12,12,Pap. Vienna G 29 825 d,,Third-second century BCE,"Hunger, H., Pöhlmann, E., 'Neue griechische Musikfragmente aus ptolemäischer Zeit in der Papyrussammlung der Österreichischen Nationalbibliothek', WS 75, 1962, 51-78. ?",,,,,,,
13,13,Pap. Vienna G 29 825 e,,Third-second century BCE,"Hunger, H., Pöhlmann, E., 'Neue griechische Musikfragmente aus ptolemäischer Zeit in der Papyrussammlung der Österreichischen Nationalbibliothek', WS 75, 1962, 51-78. ?",,,,,,,
14,14,Pap. Vienna G 29 825 f,,Third-second century BCE,"Hunger, H., Pöhlmann, E., 'Neue griechische Musikfragmente aus ptolemäischer Zeit in der Papyrussammlung der Österreichischen Nationalbibliothek', WS 75, 1962, 51-78. ?",,,,,,,
15,15,Pap. Vienna G 13763,,Third-second century BCE,"Hunger, H., Pöhlmann, E., 'Neue griechische Musikfragmente aus ptolemäischer Zeit in der Papyrussammlung der Österreichischen Nationalbibliothek', WS 75, 1962, 51-78. ?",,,,,,,
16,16,Pap. Vienna G 1494,,Third-second century BCE,"Hunger, H., Pöhlmann, E., 'Neue griechische Musikfragmente aus ptolemäischer Zeit in der Papyrussammlung der Österreichischen Nationalbibliothek', WS 75, 1962, 51-78. ?",,,,,,,
17,17,Pap. Berlin 6870 lines 16-19,,Second-third century CE,"Schubart, W. 'Ein griechischer Papyrus mit Noten', SPAW 36, 1918, 763-8.",,,,,,,
18,18,Pap. Berlin 6870 line 23,,Second-third century CE,"Schubart, W. 'Ein griechischer Papyrus mit Noten', SPAW 36, 1918, 763-8.",,,,,,,
19,19,SEG 30. 390,"Epidaurus, Hymn to Asclepius (anon.)",Late third century CE (copy of a Hellenistic original?),"Mitsos, M. T., Ἱερὸς ὕμνος ἐξ Ἀσκληπιείου Ἐπιδαύρου, AE 1980, 212-16.",,,,,,,
20,20,"Delphi inv. 517, 526, 494, 499",Paean of Athenaios,128/7 BCE,"FdD III no. 137, 138.",,,,,,,
21,21,"Delphi inv. 489, 1461, 1591, 209, 212, 226, 225, 224, 215, 214",Paean of Limenios,128/7 BCE,"FdD III no. 137, 138.",,,,,,,
22,22,Mylasa inv. 3 (reported lost),Hymn to Sinuri,First century CE,"Robert, L. Le Sanctuaire de Sinuri près de Mylasa. 1e partie: Les inscriptiones grecques (Mémoires de l'Institut Francais d'Archéologie de Stamboul, VII), Paris 1945.",,,,,,,
23,23,"National Museum of Copenhagen, inv. 14897",Seikilos,Second century CE,"Ramsay, W. M., 'Unedited Inscripiones of Asia Minor', Nr. 21, BCH 7, 1883, 277 f.",,,,,,,
24,24,"Venetus Marcianus app. Cl. VI 10 (1300), f.205v-206r; Parisinus Coislinianus graecus 173, f. 22v; Neapolitanus graecus 262 (III C 4), f. 82v-83r","Mesomedes(?), Invocation of the Muse",Second century CE,"Ed. Princeps: Galilei (1602), 97",,,,,,,
25,25,"Venetus Marcianus app. Cl. VI 10 (1300), f.205v-206r; Parisinus Coislinianus graecus 173, f. 22v; Neapolitanus graecus 262 (III C 4), f. 82v-83r","Mesomedes, Invocations of Calliope and Apollo",Second century CE,"Ed. Princeps: Galilei (1602), 97",,,,,,,
26,26,"Venetus Marcianus app. Cl. VI 10 (1300), f.205v-206r; Parisinus Coislinianus graecus 173, f. 22v; Neapolitanus graecus 262 (III C 4), f. 82v-83r","Mesomedes, Invocations of Calliope and Apollo",Second century CE,"Ed. Princeps: Galilei (1602), 97",,,,,,,
27,27,"Venetus Marcianus app. Cl. VI 10 (1300), f.205v-206r; Parisinus Coislinianus graecus 173, f. 22v; Neapolitanus graecus 262 (III C 4), f. 82v-83r","Mesomodes, Hymn to the Sun",Second century CE,"Ed. Princeps: Galilei (1602), 97",,,,,,,
28,28,"Neapolitanus graecus 262 (III C 4), f. 82v-83r","Mesomedes, Hymn to Nemesis",Second century CE,"Ed. Princeps: Galilei (1602), 97",,,,,,,
29,29,"Ottobonianus graecus 59, f. 31v-33r","Mesomedes, Hymn to Isis",Second century CE,"Lambros, S., Ἀνέκδοτα ἀρχαῖα ποιήματα, NH 3, 1906, 3-11.",,,,,,,
30,30,"Ottobonianus graecus 59, f. 31v-33r","Mesomedes, Hymn to Physis",Second century CE,"Lambros, S., Ἀνέκδοτα ἀρχαῖα ποιήματα, NH 3, 1906, 3-11.",,,,,,,
